Name,ID,Title,ShortText,Version,ServiceCode,ServiceUrl,Deprecated,hasManagedContent,CreatedAt,CreatedBy,ModifiedAt,ModifiedBy,ParentTechnicalName,State,ChangeLog,ExternalDocs,ReleaseInfo,MultiVersion,numberOfAPIs
OP_API_PLANNED_ORDERS_SRV_0001,API_PLANNED_ORDERS_0001,Planned Order,Manage planned orders using this synchronous inbound OData V2 service,1.0.0,ODATA,,,0,,XXX,,XXX,S4HANAOPAPI,ACTIVE,null,"{""2021 FPS00"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.000/EN/43/ae2e5876b4a107e10000000a441470/frameset.htm"",""description"":""Business Documentation""},""2020 FPS02"":{""description"":""Business Documentation"",""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2020.002/EN/43/ae2e5876b4a107e10000000a441470/frameset.htm""},""2021 FPS01"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.001/EN/43/ae2e5876b4a107e10000000a441470/frameset.htm"",""description"":""Business Documentation""},""2021 FPS02"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.002/EN/43/ae2e5876b4a107e10000000a441470/frameset.htm"",""description"":""Business Documentation""}}","2020 FPS02,2021 FPS00,2021 FPS01,2021 FPS02",1,1
Content,Content,Content,Enables you to work with ContentItems.,1708,ODATA,https://hostname/jam,,0,,XXX,,XXX,SAPJam,ACTIVE,,,,0,1
OP_API_RESERVATION_DOCUMENT_SRV_0001,API_RESERVATION_DOCUMENT_SRV_0001,Reservation Document,"Retrieve, create, update and delete reservation documents using this synchronous inbound service",1.0.0,ODATA,,,0,,XXX,,XXX,S4HANAOPAPI,ACTIVE,null,"{""2020 FPS02"":{""description"":""Business Documentation"",""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2020.002/EN/51/86af9bebab426984f5c399a5b2664b/frameset.htm""},""2021 FPS01"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.001/EN/51/86af9bebab426984f5c399a5b2664b/frameset.htm"",""description"":""Business Documentation""},""2021 FPS02"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.002/EN/51/86af9bebab426984f5c399a5b2664b/frameset.htm"",""description"":""Business Documentation""}}","2020 FPS02,2021 FPS01,2021 FPS02",1,1
PLANTSUBSTITUTIONCONTROL_0001,PlantSubstitutionControl            0001,Plant Substitution Control,Manage plant substitution controls using this synchronous inbound service,1,ODATAV4,https://sandbox.api.sap.com/s4hanacloud/sap/opu/odata4/sap/api_plantsubstnctrl/srvd_a2x/sap/plantsubstitutioncontrol/0001,,0,,XXX,,XXX,SAPS4HANACloud,ACTIVE,,,,0,1
activeWorkOrderDownload,activeWorkOrderDownload,Active Work Order Download,Download Active Work Orders from SAP Fieldglass.,1.0.0,REST,https://sandbox.api.sap.com/fieldglass/api/vc/connector,,0,,XXX,,XXX,FieldglassAPI,ACTIVE,,,,0,1
SAP_CF_EMS_Entitlement_Association,SAP_CF_EMS_Entitlement_Association,Entitlement Association,Create or delete entitlement association for given parent and child entitlements.,2.0,REST,https://hostname/v2,,0,,XXX,,XXX,SAPCPEMSAPIs,ACTIVE,,,,0,1
ECC_CASHPOINTPAYMENTCRTNO,ECC_CASHPOINTPAYMENTCRTNO,External Cash Point - Inbound Payment notification,Transfer payment data to Contract Accounting (FI-CA) using this asynchronous inbound service,1,SOAP,,,0,,XXX,,XXX,SAPS4HANACloud,ACTIVE,,,,0,1
analytics_reporting_view,analytics_reporting_view,Analytical Reporting - View Management API,Create and query view templates,1.0.0,REST,https://sandbox.api.sap.com/ariba/api/analytics-reporting-view/v1/sandbox,,0,,XXX,,XXX,SAPAribaOpenAPIs,ACTIVE,"[{""date"":""25 Oct 2019"",""notes"":""Version 1.0.0 of Analytical Reporting - View Management API is now published"",""state"":""Active"",""version"":""1.0.0""}]",,,0,1
economic,economic,E-conomic,Accounting and ERP system focused in the Nordics,api-v2,REST,,,,,XXX,,XXX,erp,,,,,0,1
OP_SERVICECONTRACTNOTIFICATION_OUT,CO_CRMS4_SC_NOTIFY_OUT,Service Contract - Notification Processing (Asynchronous),Send notifications from your system to an external system when any change to a service contract occurs using this asynchronous outbound service,1.0.0,SOAP,,,0,,XXX,,XXX,S4HANAOPAPI,ACTIVE,null,"{""2020 FPS02"":{""description"":""Business Documentation"",""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2020.002/EN/cf/0f0aed99184f318ef5391c058725b0/frameset.htm""},""2021 FPS01"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.001/EN/cf/0f0aed99184f318ef5391c058725b0/frameset.htm"",""description"":""Business Documentation""},""2021 FPS02"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.002/EN/cf/0f0aed99184f318ef5391c058725b0/frameset.htm"",""description"":""Business Documentation""}}","2020 FPS02,2021 FPS01,2021 FPS02",1,1
CO_FKK_CAFULLPAYMENT_REQ_OUT,CO_FKK_CAFULLPAYMENT_REQ_OUT,Full Payment - Bulk Send,Transfer information about payments for bills received from Contract Accounting (FI-CA) to a remote system using this asynchronous outbound service,1,SOAP,,,0,,XXX,,XXX,SAPS4HANACloud,ACTIVE,,,,0,1
cf_consumer_api,cf_consumer_api,Cloud Foundry Consumer API,Allows you to read events regarding your resources that you have defined to be cached in the Alert Notification storage.,v1,REST,https://hostname/,,0,,XXX,,XXX,AlertNotification,ACTIVE,,,,0,1
TaskService,TaskService,Task Service,Manage tasks in a project,1.0,ODATAV4,https://sandbox.api.sap.com/SAPPIN/TaskService/v1,,0,,XXX,,XXX,SAPProjectIntelligenceNetwork,ACTIVE,,,,0,1
OP_CO_FNDEI_ITEMCATEGORY_RL,CO_FNDEI_ITEMCATEGORY_RL,Item Category - Replicate (A2X),Replicate item categories using this asynchronous outbound service,1.0.0,SOAP,,,0,,XXX,,XXX,S4HANAOPAPI,ACTIVE,null,"{""2021 FPS00"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.000/EN/53/362258bac143e38dccad4162406a40/frameset.htm"",""description"":""Business Documentation""},""2020 FPS02"":{""description"":""Business Documentation"",""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2020.002/EN/53/362258bac143e38dccad4162406a40/frameset.htm""},""2021 FPS01"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.001/EN/53/362258bac143e38dccad4162406a40/frameset.htm"",""description"":""Business Documentation""},""2021 FPS02"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.002/EN/53/362258bac143e38dccad4162406a40/frameset.htm"",""description"":""Business Documentation""}}","2020 FPS02,2021 FPS00,2021 FPS01,2021 FPS02",1,1
API_RFQ_PROCESS_SRV,API_RFQ_PROCESS_SRV_0001,Request for Quotation,"Read, create, and update requests for quotations from or in the SAP S/4HANA Cloud system using this service",1,ODATA,https://sandbox.api.sap.com/s4hanacloud/sap/opu/odata/sap/API_RFQ_PROCESS_SRV,,0,,XXX,,XXX,SAPS4HANACloud,ACTIVE,,,,0,1
hubspotcrm,hubspotcrm,HubSpot CRM,"Allows the sales team to easily organize, track, and grow pipeline",api-v2,REST,,,,,XXX,,XXX,crm,,,,,0,1
CST_Product,CST_Product,Product,Processes product information.,1.1.0,REST,,,0,,XXX,,XXX,DataIngestionforIndustryCloudSolutions,ACTIVE,,,,0,1
LogisticsInvoice_Provider,LogisticsInvoice_Provider,Provider API for Invoicing,Enables carriers to manage invoicing process.,1.0.0,REST,https://hostname/http/v1,,0,,XXX,,XXX,LbnFreightCollaborationTenderingSubcontracting,ACTIVE,,,,0,1
Provisioning_Requests_APIs,Provisioning_Requests_APIs,Provisioning Requests,Manage provisioning requests for subscriptions.,1,REST,https://sandbox.api.sap.com/subscriptionbilling/api/provisioning-request/v1,,0,,XXX,,XXX,SAPHybrisRevenueCloud,DEPRECATED,"[{""date"":""1 Dec 2021"",""notes"":""The Provisioning Requests API is deprecated and will be decommissioned in December 2022. We recommend that you use the <a href=\""https://api.sap.com/api/Subscription_APIs/resource\"">Subscriptions API<\/a> instead to create subscriptions or pending subscriptions. For more information, see the <a href=\""https://help.sap.com/viewer/987aec876092428f88162e438acf80d6/latest/en-US/5fa17ed246614c7db88896a4c0c1dcc2.html\"">API Guide<\/a>."",""state"":""Deprecated"",""version"":""1""},{""date"":""28 Nov 2018"",""notes"":""The Provisioning Requests API is now available and replaces the decommissioned Orders API. For information about the endpoints and operations, see the API reference details."",""state"":""Active"",""version"":""1""}]",,,0,1
ProjectInvestmentService,ProjectInvestmentService,Project Investments,This service enables you to access all the data from the project-service.,1.0,ODATAV4,,,0,,XXX,,XXX,ProcurementPlanning,ACTIVE,,,,0,1
CO_FKK_CA_FACTORINGBUYBACK_REQ,CO_FKK_CA_FACTORINGBUYBACK_REQ,Factoring - Buyback Data,Transfer factoring data from Contract Accounting (FI-CA) in your SAP S/4HANA Cloud to an external system,1,SOAP,,,0,,XXX,,XXX,SAPS4HANACloud,ACTIVE,,,,0,1
AppendContentStreamApi,AppendContentStreamApi,Append Content Stream,Appends data in chunks  to a document for large files,1.0.0,REST,,,0,,XXX,,XXX,SAPDocumentManagementServiceIntegrationOptionCMISAPI,ACTIVE,,,,0,1
API_CUSTOMER_RETURN_SRV,API_CUSTOMER_RETURN_SRV_0001,Customer Return (A2X),"Create, read, update, and delete customer returns using this synchronous inbound service",1,ODATA,https://sandbox.api.sap.com/s4hanacloud/sap/opu/odata/sap/API_CUSTOMER_RETURN_SRV,,0,,XXX,,XXX,SAPS4HANACloud,ACTIVE,,,,0,1
API_GRTRANSACTIONDATA_SRV,API_GRTRANSACTIONDATA_SRV_0001,Transaction Data for Group Reporting - Read,This synchronous inbound service provides transaction data in SAP S/4HANA Cloud for group reporting,1,ODATA,https://sandbox.api.sap.com/s4hanacloud/sap/opu/odata/sap/API_GRTRANSACTIONDATA_SRV,,0,,XXX,,XXX,SAPS4HANACloud,ACTIVE,,,,0,1
registeredproduct,registeredproduct,Registered Product,Access information on registered product using this master data service.,1.0,ODATA,https://sandbox.api.sap.com/sap/c4c/odata/v1/c4codataapi,,0,,XXX,,XXX,C4C,ACTIVE,,,,0,1
API_FINPLANNINGDATA_SRV,API_FINPLANNINGDATA_SRV_0001,Financial Planning Data - Write,Write financial plan data to Plan Data Line Items table from one system to another using this inbound service,1,ODATA,https://sandbox.api.sap.com/s4hanacloud/sap/opu/odata/sap/API_FINPLANNINGDATA_SRV,,0,,XXX,,XXX,SAPS4HANACloud,ACTIVE,,,,0,1
OP_BD_UPDATE_SBI_REQUEST_IN,BD_UPDATE_SBI_REQUEST_IN,Billing Document - Update Fields for Self-Billing,Update billing document fields required for self-billing with this asynchronous inbound service,1.0.0,SOAP,,,0,,XXX,,XXX,S4HANAOPAPI,ACTIVE,null,"{""2021 FPS00"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.000/EN/29/f7fc4659044336bd8c0989b97ff78d/frameset.htm"",""description"":""Business Documentation""},""2020 FPS02"":{""description"":""Business Documentation"",""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2020.002/EN/29/f7fc4659044336bd8c0989b97ff78d/frameset.htm""},""2021 FPS01"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.001/EN/29/f7fc4659044336bd8c0989b97ff78d/frameset.htm"",""description"":""Business Documentation""},""2021 FPS02"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.002/EN/29/f7fc4659044336bd8c0989b97ff78d/frameset.htm"",""description"":""Business Documentation""}}","2020 FPS02,2021 FPS00,2021 FPS01,2021 FPS02",1,1
OP_A_TRSYPOSFLOW_CDS_0001,A_TRSYPOSFLOW_CDS_0001,Treasury Position Flow - Read,Read treasury position flows using this synchronous inbound service,1.0.0,ODATA,,,0,,XXX,,XXX,S4HANAOPAPI,ACTIVE,null,"{""2021 FPS00"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.000/EN/fd/bdf48471784561a68d2a23d474650d/frameset.htm"",""description"":""Business Documentation""},""2020 FPS02"":{""description"":""Business Documentation"",""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2020.002/EN/fd/bdf48471784561a68d2a23d474650d/frameset.htm""},""2021 FPS01"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.001/EN/fd/bdf48471784561a68d2a23d474650d/frameset.htm"",""description"":""Business Documentation""},""2021 FPS02"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.002/EN/fd/bdf48471784561a68d2a23d474650d/frameset.htm"",""description"":""Business Documentation""}}","2020 FPS02,2021 FPS00,2021 FPS01,2021 FPS02",1,1
OP_API_MANUALACCRUALS_0001,API_MANUALACCRUALS_0001,Manual Accruals,Manage manual accrual objects using this synchronous inbound service,1.0.0,ODATA,,,0,,XXX,,XXX,S4HANAOPAPI,ACTIVE,null,"{""2021 FPS00"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.000/EN/88/9f2b8c0b4b4f1d800dfd5dfefcfb0c/frameset.htm"",""description"":""Business Documentation""},""2020 FPS02"":{""description"":""Business Documentation"",""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2020.002/EN/88/9f2b8c0b4b4f1d800dfd5dfefcfb0c/frameset.htm""},""2021 FPS01"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.001/EN/88/9f2b8c0b4b4f1d800dfd5dfefcfb0c/frameset.htm"",""description"":""Business Documentation""},""2021 FPS02"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.002/EN/88/9f2b8c0b4b4f1d800dfd5dfefcfb0c/frameset.htm"",""description"":""Business Documentation""}}","2020 FPS02,2021 FPS00,2021 FPS01,2021 FPS02",1,1
OP_APPOINTMENT_ACTIVITY_BULK_REQUEST_IN,APPOINTMENTACTIVITYBULKREQUEST,"Appointment Activity (Bulk, Asynchronous)",Maintain appointment activities using this asynchronous inbound service,1.0.0,SOAP,,,0,,XXX,,XXX,S4HANAOPAPI,ACTIVE,null,"{""2021 FPS00"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.000/EN/1e/87fc2b2df948009b07f5d08420c958/frameset.htm"",""description"":""Business Documentation""},""2020 FPS02"":{""description"":""Business Documentation"",""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2020.002/EN/1e/87fc2b2df948009b07f5d08420c958/frameset.htm""},""2021 FPS01"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.001/EN/1e/87fc2b2df948009b07f5d08420c958/frameset.htm"",""description"":""Business Documentation""},""2021 FPS02"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.002/EN/1e/87fc2b2df948009b07f5d08420c958/frameset.htm"",""description"":""Business Documentation""}}","2020 FPS02,2021 FPS00,2021 FPS01,2021 FPS02",1,1
PSM_ISI_R_II_MANAGE_CONTACT_IN,PSM_ISI_R_II_MANAGE_CONTACT_IN,Manage Contacts,An interface to migrate contact master data from a source system or file.,2205.1.0,SOAP,,,0,,XXX,,XXX,BYD,ACTIVE,,,,0,1
CO_CQP_SOR_OUT,CO_CQP_SOR_OUT,Sales Quote Follow-Up Document Creation Out,Requests sales quote follow-up document creation in SAP Business Suite.,1.0.0,SOAP,,,0,,XXX,,XXX,C4C,ACTIVE,,,,0,1
campaign,campaign,Campaign,Convert marketing initiatives into sales opportunities.,1.0,ODATA,https://sandbox.api.sap.com/sap/c4c/odata/v1/c4codataapi,,0,,XXX,,XXX,C4C,ACTIVE,,,,0,1
storage_manager,storage_manager,Download Electronic Documents,Downloads electronic document files with various extensions.,1.0.0,REST,https://sandbox.api.sap.com/sapdocumentcompliance/displaydownloadelectronicdocuments,,0,,XXX,,XXX,NFEAPIS,ACTIVE,,,,0,1
strategicsourcing_eventstatus,strategicsourcing_eventstatus,Integration Monitoring API for Strategic Sourcing,"Allows customers to import or export master and transaction data, to and from their ERP system.",1.0.0,REST,https://sandbox.api.sap.com/ariba/api/strategicsourcing-eventstatus/v1/sandbox,,0,,XXX,,XXX,SAPAribaOpenAPIs,DEPRECATED,"[{""date"":""06 Aug 2020"",""notes"":""Version 1.0.0 of Integration Monitoring API for Strategic Sourcing is deprecated and can be decommissioned on or after 25 Oct 2021"",""state"":""Deprecated"",""version"":""1.0.0""},{""date"":""25 Oct 2019"",""notes"":""Version 1.0.0 of Integration Monitoring API for Strategic Sourcing is now published"",""state"":""Active"",""version"":""1.0.0""}]",,,0,1
DevPortal_DiscoveryService,DevPortal_DiscoveryService,Developer Portal - Discovery Service (Neo),Enables you to identify the right API to quickly prototype and build applications.,1.0,ODATA,https://sandbox.api.sap.com/apimanagement/devportal/apidiscovery/v1,,0,,XXX,,XXX,APIMgmt,ACTIVE,,,,0,1
OP_API_CODING,Coding                              0001,Catalog Type Coding - Read,Read catalog type Coding using this synchronous inbound service,1.0.0,ODATAV4,,,0,,XXX,,XXX,S4HANAOPAPI,ACTIVE,null,"{""2021 FPS01"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.001/EN/b0/ecb19d4b3f459f84644a54eb28d693/frameset.htm"",""description"":""Business Documentation""},""2021 FPS02"":{""url"":""https://help.sap.com/http.svc/ahp2/SAP_S4HANA_ON-PREMISE/2021.002/EN/b0/ecb19d4b3f459f84644a54eb28d693/frameset.htm"",""description"":""Business Documentation""}}","2021 FPS01,2021 FPS02",1,1
